Tipo de Obra;Nro. GEX;Fecha Vencimiento;Estado;Regional;Solicitantes;Fecha de Solicitud;Fecha de Resolución;Fecha de Inscripción;Cadual;Volumen;Uso;Destino;Lat;Lon;Mes Inicio;Mes Final;Horas x Año;Depto.-Padrón;Id Solicitud;Codigo Cuencas de nivel 5;Sección Judicial;Cuencas de nivel 3;Curso a Utilizar;Área de Cuenca;Área de Embalse;Volúmen de Embalse;Altura Máxima;Tipo de acuifero;profundidad;Diámetro;Caudal Ensayado;Nivel Estático;Nivel Dinámico;Caudal Máximo;Codigo Cuencas de nivel 2;Accion Solicitud;Tipo Resolución
Pozo;SGRH-2015-10-004-0510-1-657;26/10/2050;Registrada;MONTEVIDEO;OSE ;25/11/2015;26/10/2015;29/12/2015;0,3;1296;Consumo humano;Abastecimiento a poblaciones;-34,49924729;-55,68607574;12;11;4320;CANELONES-39609;244325;27400;;RÍO DE LA PLATA entre Ao. SOLÍS CHICO y Ao. Sarandí;274;;;;;;40;152,4;0,3;11,5;23,45;;27;Nueva;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-659;18/12/2050;Registrada;DURAZNO;OSE ;25/11/2015;18/12/2015;18/12/2015;1,7;9792;Consumo humano;Abastecimiento a poblaciones;-32,82703652;-55,5280526;12;11;5760;DURAZNO-6522;244327;54421;;RÍO NEGRO entre Ao. DE LAS CAÑAS y Ao. Chileno Grande;544;;;;;;55;152,4;1,7;10;17;;54;Nueva;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-66;30/6/2025;Registrada;MONTEVIDEO;Daniel Simoes Spikerman;2/3/2015;26/6/2015;14/9/2015;11200;20;Riego;Hortalizas;-34,85401665;-56,32266544;12;6;560;MONTEVIDEO-413861;244328;26000;16;RÍO DE LA PLATA entre Río Santa Lucía y Ao. Pantanoso;260;;;;;;76;0,15;20;12;30;;26;Cesión;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-660;30/6/2026;Registrada;SALTO;Sergio Fernando Balbi Bravo;25/11/2015;28/11/2016;16/12/2016;22,5;103680;Riego;Hortalizas;-31,35086904;-57,8683572;12;11;5184;SALTO-4994;244329;14800;;RÍO URUGUAY entre Ao. SAN ANTONIO GRANDE y Río Daymán;148;;;;;;57;154;22,5;13;16,7;;14;Renov/Modif;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-661;26/10/2050;Registrada;DURAZNO;OSE ;25/11/2015;26/10/2015;16/12/2015;2,5;14400;Consumo humano;Abastecimiento a poblaciones;-32,8150394;-55,37964061;12;11;5760;DURAZNO-2746;244330;50920;6;RÍO NEGRO entre Ao. DEL CORDOBÉS y Río Tacuarembó;509;;;;;;70;152,4;2,5;12;24;;50;Nueva;Permiso de uso
Represa Chica;SGRH-2015-10-004-0510-1-666;25/3/2019;Registrada;TACUAREMBÓ;Ginker S.A. ;27/11/2015;21/9/2016;18/10/2016;0;1300000;Otros usos;Control de incendios;-32,399589;-55,53992807;4;3;8640;TACUAREMBÓ-11324;244335;54000;;RÍO NEGRO entre Río Tacuarembó y Ao. Malo;Cda. sin nombre;470;109;3704000;8,5;;;;;;;;54;Cesión;Concesión
Pozo;SGRH-2015-10-004-0510-1-667;30/6/2025;Registrada;SALTO;Gamorel S.A. ;30/11/2015;16/2/2017;10/3/2017;4;1920;Riego;Frutales;-31,31935692;-57,89723283;12;11;480;SALTO-3866;244336;14800;;RÍO URUGUAY entre Ao. SAN ANTONIO GRANDE y Río Daymán;148;;;;;;40;150;4;2;10;;14;Nueva;Permiso de uso
Represa Grande;SGRH-2015-10-004-0510-1-669;30/6/2019;Archivada con Resolución;RÍO BRANCO;ROSALES Y GONCALVEZ S.C. ;30/11/2015;23/3/2017;26/4/2017;0;8150000;Riego;Arroz;-32,55767009;-53,54221032;12;3;2880;CERRO LARGO-16475;244338;41920;3;RÍO TACUARÍ entre Cda. DE SANTOS y Laguna Merín;Cda. Grande;1820;355;9835800;8,4;;;;;;;;41;Renov/Modif;Concesión
Pozo;SGRH-2015-10-004-0510-1-67;30/6/2025;Registrada;MONTEVIDEO;Ángel Arbelo Felichi;3/3/2015;8/5/2015;25/6/2015;36;9720;Riego;Hortalizas;-34,83719644;-56,30130625;12;5;270;MONTEVIDEO-53344;244339;26200;13;RÍO DE LA PLATA entre Ao. PANTANOSO y Ao. Miguelete;262;;;;;;46;146;36;3,6;13,3;;26;Renov/Modif;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-670;30/6/2025;Registrada;SALTO;Gamorel S.A. ;30/11/2015;6/4/2017;5/5/2017;20;14400;Riego;Frutales;-31,31844865;-57,89708666;12;11;720;SALTO-3866;244340;14800;;RÍO URUGUAY entre Ao. SAN ANTONIO GRANDE y Río Daymán;148;;;;;;40;150;20;2;15;;14;Nueva;Permiso de uso
